"Carimbo de data/hora","Em qual semestre você está?","Qual sua faixa etária?","Você tem formação em outra área?","Qual(is) sua(s) outra(s) área(s) de formação?","Você sente/sentiu alguma dificuldade ao aprender lógica de programação? ","Qual foi sua maior dificuldade?","Você acredita que um jogo interativo desenvolvido exclusivamente para o ensino de Lógica de Programação iria ajudar no aprendizado dessa disciplina?","Como você prefere aprender?","Se respondeu ""Outros"", comente:"
"2021/02/22 8:13:16 PM GMT-3","6 (ou mais)","25-35","Não","","Não","","Não","",""
"2021/02/22 8:14:14 PM GMT-3","6 (ou mais)","20-25","Sim","Humanas - gestão de recursos humanos ","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/02/22 8:15:29 PM GMT-3","6 (ou mais)","20-25","Não","","Não","","Sim","",""
"2021/02/22 8:18:00 PM GMT-3","3","25-35","Sim","Educação física","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/02/22 8:22:53 PM GMT-3","6 (ou mais)","25-35","Não","","Não","","Sim","",""
"2021/02/22 8:23:09 PM GMT-3","6 (ou mais)","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:18:30 PM GMT-3","4","25-35","Sim","Publicidade e propaganda","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/02/22 9:28:29 PM GMT-3","2","20-25","Não","","Sim","Variáveis","Não","",""
"2021/02/22 9:29:29 PM GMT-3","6 (ou mais)","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:31:11 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Estruturas de decisão (if/switch)","Sim","",""
"2021/02/22 9:31:22 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Procedimentos","Sim","",""
"2021/02/22 9:33:33 PM GMT-3","5","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:33:37 PM GMT-3","5","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:33:53 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Estruturas de repetição (for/while)","Sim","",""
"2021/02/22 9:34:59 PM GMT-3","4","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:38:07 PM GMT-3","5","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/02/22 9:40:16 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Estruturas de repetição (for/while)","Não","",""
"2021/02/22 9:40:53 PM GMT-3","3","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:49:35 PM GMT-3","4","20-25","Não","","Sim","Funções","Sim","",""
"2021/02/22 9:52:57 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Estruturas de repetição (for/while)","Sim","",""
"2021/02/22 9:59:23 PM GMT-3","3","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/02/22 10:05:38 PM GMT-3","5","20-25","Não","","Não","","Sim","",""
"2021/02/22 10:08:26 PM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/02/22 10:10:24 PM GMT-3","2","25-35","Sim","Ciência da computação; pedagogia","Não","","Sim","",""
"2021/02/22 10:16:02 PM GMT-3","5","20-25","Não","","Não","","Sim","",""
"2021/02/22 10:21:12 PM GMT-3","4","25-35","Sim","Comex e R.I","Não","","Sim","",""
"2021/02/22 10:22:52 PM GMT-3","3","20-25","Não","","Sim","Estruturas de decisão (if/switch)","Sim","",""
"2021/02/22 10:32:05 PM GMT-3","5","Mais de 35","Sim","Nutrição e adm ambos técnico (2 grau)","Sim","Funções","Sim","",""
"2021/02/22 10:46:07 PM GMT-3","5","Menos de 20","Não","","Não","","Sim","",""
"2021/02/23 12:00:15 AM GMT-3","3","20-25","Não","","Sim","Variáveis","Sim","",""
"2021/02/23 12:02:30 AM GMT-3","3","20-25","Não","","Sim","Variáveis","Sim","",""
"2021/02/23 12:09:09 AM GMT-3","6 (ou mais)","25-35","Sim","Telecomunicações","Não","","Sim","",""
"2021/02/23 9:08:07 AM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/02/23 9:29:35 AM GMT-3","6 (ou mais)","25-35","Não","","Não","","Sim","",""
"2021/02/23 7:27:05 PM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/02/24 10:12:11 AM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/02/25 6:08:45 PM GMT-3","5","20-25","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/03 9:25:07 PM GMT-3","5","25-35","Sim","Tecnologia em Hidráulica e Saneamento Ambiental","Sim","Funções","Sim","",""
"2021/03/03 9:27:48 PM GMT-3","1","25-35","Sim","Logística e Administração","Sim","Funções","Sim","",""
"2021/03/03 9:27:53 PM GMT-3","5","20-25","Sim","Técnico em Eletrônica","Não","","Sim","",""
"2021/03/03 9:28:01 PM GMT-3","5","20-25","Não","","Não","","Sim","",""
"2021/03/03 9:28:53 PM GMT-3","5","25-35","Sim","Geografia","Não","","Sim","",""
"2021/03/03 9:28:59 PM GMT-3","4","Menos de 20","Não","","Não","","Sim","",""
